name,location,price,stars,distance_from_center,num_external_reviews,booking_user_ratings,avg_user_ratings,airport_taxi,travel_sustainable_level,has_free_cancelation
Ruby Emma Hotel Amsterdam,"Oost, Amsterdam","MKD 107,157",4,4.3 km from center,"5,428 reviews",Excellent,8.6,No airport taxi,Travel Sustainable Level 3,False
Element Amsterdam,"Zuideramstel, Amsterdam","MKD 119,503",4,4.7 km from center,"1,077 reviews",Excellent,8.7,No airport taxi,Travel Sustainable Level 3+,False
the niu Fender,"Zeeburg, Amsterdam","MKD 79,436",4,3.9 km from center,"5,320 reviews",Very Good,8.2,No airport taxi,Travel Sustainable Level 3+,False
Moxy Amsterdam Houthavens,"Westpoort, Amsterdam","MKD 84,689",4,3.4 km from center,"2,092 reviews",Very Good,8.0,No airport taxi,Travel Sustainable Level 3,True
Joy Hotel,"Zuidoost, Amsterdam","MKD 66,141",3,8.5 km from center,"7,294 reviews",Good,7.4,No airport taxi,Travel Sustainable Level 2,False
Park Inn by Radisson Amsterdam City West,"Westpoort, Amsterdam","MKD 84,689",4,3.9 km from center,"17,608 reviews",Good,7.9,No airport taxi,Travel Sustainable Level 3+,False
ibis Amsterdam City West,"Westpoort, Amsterdam","MKD 81,664",3,3.6 km from center,"3,659 reviews",Good,7.7,No airport taxi,Travel Sustainable Level 2,True
Cityden BoLo District,"Bos en Lommer, Amsterdam","MKD 73,665",4,3.3 km from center,"4,388 reviews",Very Good,8.4,No airport taxi,Travel Sustainable Level 3,False
The Alfred Hotel,"Oud Zuid, Amsterdam","MKD 72,181",3,2.6 km from center,"4,915 reviews",Good,7.2,Early 2024 Deal,Travel Sustainable Level 1,True
"Holiday Inn Express Amsterdam Arena Towers, an IHG Hotel","Zuidoost, Amsterdam","MKD 88,269",3,7.8 km from center,"14,561 reviews",Good,7.8,No airport taxi,Travel Sustainable Level 3+,True
Residence Inn by Marriott Amsterdam Houthavens,"Westpoort, Amsterdam","MKD 111,355",4,3.4 km from center,735 reviews,Very Good,8.3,No airport taxi,Travel Sustainable Level 2,False
"Park Centraal Amsterdam, part of Sircle Collection","Oud Zuid, Amsterdam","MKD 123,145",4,1.4 km from center,"2,307 reviews",Very Good,8.3,No airport taxi,Travel Sustainable Level 2,False
Qbic Amsterdam WTC,"Zuideramstel, Amsterdam","MKD 70,671",3,3.9 km from center,"3,368 reviews",Good,7.8,No airport taxi,Travel Sustainable Level 2,True
Hotel Espresso,"Oud West, Amsterdam","MKD 70,776",3,1.6 km from center,"1,709 reviews",Good,7.4,No airport taxi,Travel Sustainable Level 1,False
Via Suites,"Bijlmermeer, Amsterdam","MKD 73,665",4,6.6 km from center,"2,089 reviews",Very Good,8.2,No airport taxi,Travel Sustainable Level 2,False
Hotel Jansen Amsterdam Bajeskwartier,"Oost, Amsterdam","MKD 81,942",,4.2 km from center,"1,115 reviews",Very Good,8.3,No airport taxi,Travel Sustainable Level 3,False
NH Amsterdam Zuid,"Zuideramstel, Amsterdam","MKD 83,404",4,5.2 km from center,"1,583 reviews",Very Good,8.1,No airport taxi,Travel Sustainable Level 3+,True
Hotel Torenzicht,"Amsterdam City Center, Amsterdam","MKD 86,417",1,350 m from center,"1,873 reviews",Good,7.4,No airport taxi,,True
Amadi Panorama Hotel,"IJburg, Amsterdam","MKD 91,602",4,6.6 km from center,"4,575 reviews",Good,7.7,No airport taxi,Travel Sustainable Level 1,True
